EDAD GENERO LONG_ABDO TIPO_COLE LONG_PIE LONG_MAN
6466 MUJER 63 PRIVADO 22 18
6537 MUJER 110 PUBLICO 22.3 18
8030 MUJER 50 PUBLICO 22.5 18
8149 HOMBRE 79 PUBLICO 23 18
7025 HOMBRE 95 PRIVADO 23 18
6483 HOMBRE 70 PRIVADO 23 18
10350 MUJER 71 PUBLICO 23 18
6907 HOMBRE 74 PRIVADO 23 18
10585 HOMBRE 72 PUBLICO 23 18
6248 MUJER 70 PUBLICO 23 18
8876 HOMBRE 87 PUBLICO 23 18
8759 MUJER 79 PRIVADO 23 18
6940 HOMBRE 73 PRIVADO 23.5 18
8186 HOMBRE 106 PUBLICO 23.5 18
7751 HOMBRE 85 PUBLICO 23.5 18
6261 MUJER 77 PUBLICO 23.5 18
6055 HOMBRE 73 PUBLICO 24 18
9300 MUJER 95 PUBLICO 24 18
7857 MUJER 69 PRIVADO 24 18
6202 HOMBRE 70 PUBLICO 24 18
6558 HOMBRE 83 PUBLICO 24 18
6558 HOMBRE 93 PUBLICO 24 18
8395 MUJER 67 PUBLICO 24 18
7183 HOMBRE 91 PUBLICO 24 18
6334 HOMBRE 95 PRIVADO 24 18
7306 HOMBRE 85 PRIVADO 24 18
6938 HOMBRE 85 PUBLICO 24 18
6422 HOMBRE 66 PUBLICO 24 18
7143 HOMBRE 81 PUBLICO 24 18
7705 MUJER 65 PUBLICO 24 18
6384 HOMBRE 70 PRIVADO 24.5 18
6384 HOMBRE 70 PRIVADO 24.5 18
6570 MUJER 80 PRIVADO 24.5 18
7508 HOMBRE 70 PUBLICO 25 18
6463 HOMBRE 74 PUBLICO 25 18
6545 HOMBRE 92 PRIVADO 25 18
7857 HOMBRE 80 PUBLICO 25 18
6358 HOMBRE 90 PRIVADO 25 18
6358 HOMBRE 90 PRIVADO 25 18
6205 HOMBRE 82 PUBLICO 25 18
6366 HOMBRE 80 PUBLICO 25 18
6366 HOMBRE 80 PUBLICO 25 18
5986 HOMBRE 84 PUBLICO 25 18
7115 HOMBRE 64.2 PUBLICO 25 18
6293 HOMBRE 72 PUBLICO 25 18
7100 HOMBRE 50 PUBLICO 25 18
7670 HOMBRE 98 PUBLICO 25 18
8163 MUJER 71 PUBLICO 25 18
7701 MUJER 74 PUBLICO 25 18
7050 HOMBRE 82 PUBLICO 25 18
7300 HOMBRE 60 PUBLICO 25 18
6600 HOMBRE 80 OTROS 25.2 18
7302 MUJER 78 PRIVADO 25.5 18
6932 HOMBRE 71 PUBLICO 26 18
6493 HOMBRE 79 PUBLICO 26 18
15685 HOMBRE 70 PUBLICO 26 18
9599 HOMBRE 117 PRIVADO 26 18
6279 HOMBRE 82.3 PUBLICO 26 18
6172 HOMBRE 68.1 PUBLICO 26 18
6172 HOMBRE 83.3 PUBLICO 26 18
6135 MUJER 92 PUBLICO 26 18
6189 HOMBRE 71.7 PUBLICO 26.5 18
6189 HOMBRE 78.5 PUBLICO 26.5 18
11185 MUJER 73 PUBLICO 26.8 18
6244 HOMBRE 81 PRIVADO 27 18
6677 HOMBRE 75 PUBLICO 27 18
7385 HOMBRE 79 PRIVADO 27 18
7390 HOMBRE 96.5 PRIVADO 27 18
6502 HOMBRE 73 PUBLICO 27.5 18
6502 HOMBRE 73 PUBLICO 27.5 18
6251 HOMBRE 81 PRIVADO 28 18
6627 HOMBRE 90 PUBLICO 30 18
8122 HOMBRE 97 PRIVADO 30 18
7391 HOMBRE 87 PUBLICO 34 18
8030 MUJER 62 PUBLICO 37 18
6447 HOMBRE 70 PUBLICO 20.5 18.2
7305 HOMBRE 70 PUBLICO 23.6 18.2
7372 HOMBRE 90 PRIVADO 24.5 18.2
7996 HOMBRE 90 PUBLICO 26.4 18.2
6574 HOMBRE 71.5 PUBLICO 25 18.3
6378 HOMBRE 65 PRIVADO 25.1 18.3
7210 HOMBRE 73.5 PRIVADO 26.2 18.3
8605 HOMBRE 90 PUBLICO 28 18.3
8535 HOMBRE 104 PUBLICO 24.3 18.4
9125 HOMBRE 89 PUBLICO 25.1 18.4
6883 HOMBRE 83 PUBLICO 30 18.4
7787 MUJER 64 PUBLICO 23.3 18.45
6635 MUJER 76 PUBLICO 22.5 18.5
7845 MUJER 65 PUBLICO 22.5 18.5
8289 MUJER 72 PUBLICO 23.5 18.5
6553 HOMBRE 82 PUBLICO 24 18.5
6205 MUJER 62 PUBLICO 24.5 18.5
8719 HOMBRE 78 PUBLICO 24.5 18.5
6160 HOMBRE 72 PUBLICO 24.5 18.5
8015 HOMBRE 95 PUBLICO 25 18.5
6772 HOMBRE 82 PUBLICO 25.4 18.5
6592 HOMBRE 80 PUBLICO 25.6 18.5
8986 HOMBRE 83 PUBLICO 26 18.5
8214 HOMBRE 78.5 PRIVADO 26.2 18.5
6642 HOMBRE 93 PUBLICO 26.5 18.5
6136 HOMBRE 73 PRIVADO 26.8 18.5
6402 HOMBRE 105 PRIVADO 27 18.5
6205 HOMBRE 78 PUBLICO 28 18.5
11431 HOMBRE 98 PRIVADO 25 18.6
8137 HOMBRE 87 PUBLICO 27 18.6
6711 MUJER 76 PUBLICO 24 18.7
7088 HOMBRE 94 PRIVADO 26.3 18.7
7773 HOMBRE 86 PUBLICO 27.8 18.7
6335 MUJER 80 PUBLICO 23.1 18.8
6555 HOMBRE 75 PUBLICO 27.8 18.8
12719 HOMBRE 76 PRIVADO 24.7 18.9
6560 HOMBRE 70 PUBLICO 22.5 19
6563 HOMBRE 84 PRIVADO 23 19
6537 MUJER 65 PUBLICO 23.8 19
6935 HOMBRE 74 PUBLICO 24 19
7597 HOMBRE 76.5 PRIVADO 24 19
6821 HOMBRE 75 PUBLICO 24 19
6345 HOMBRE 70 PRIVADO 24 19
7562 HOMBRE 69 PUBLICO 24 19
6345 HOMBRE 75.2 PRIVADO 24 19
6152 HOMBRE 82 PUBLICO 24 19
6523 HOMBRE 66.5 PUBLICO 24.5 19
6113 HOMBRE 80 PUBLICO 25 19
7917 HOMBRE 90 PUBLICO 25 19
6240 HOMBRE 75 PRIVADO 25 19
12472 HOMBRE 90 PUBLICO 25 19
6551 HOMBRE 75 PUBLICO 25 19
6632 HOMBRE 75 PRIVADO 25 19
6244 HOMBRE 67.3 PUBLICO 25 19
6935 HOMBRE 90 PUBLICO 25 19
6152 HOMBRE 68 PRIVADO 25 19
7310 HOMBRE 79 PUBLICO 25 19
7310 HOMBRE 79 PUBLICO 25 19
7259 HOMBRE 80 PUBLICO 25 19
6163 MUJER 45 PUBLICO 25 19
7665 MUJER 68 PUBLICO 25 19
8006 HOMBRE 65 PUBLICO 25.5 19
6752 HOMBRE 91 PUBLICO 26 19
6634 HOMBRE 82 PRIVADO 26 19
6721 HOMBRE 78 PUBLICO 26 19
6881 HOMBRE 81 PUBLICO 26 19
6881 HOMBRE 81 PUBLICO 26 19
7370 HOMBRE 89 PUBLICO 26 19
6546 MUJER 66 PUBLICO 26 19
6654 HOMBRE 83 PRIVADO 26 19
6570 HOMBRE 70 PUBLICO 26 19
7644 HOMBRE 76.5 PUBLICO 26.4 19
8767 HOMBRE 84 PUBLICO 26.5 19
13634 HOMBRE 92 PRIVADO 27 19
6628 HOMBRE 82 PUBLICO 27 19
7192 HOMBRE 110 PUBLICO 27 19
6208 HOMBRE 86 PRIVADO 27 19
6529 HOMBRE 50 PRIVADO 27 19
7572 MUJER 97 PRIVADO 27 19
7787 HOMBRE 90.5 PUBLICO 27 19
6850 HOMBRE 76 PUBLICO 27.5 19
6182 HOMBRE 70 PUBLICO 28 19
6462 HOMBRE 82 PRIVADO 28 19
6898 HOMBRE 79 PUBLICO 28 19
6669 HOMBRE 80 PRIVADO 28 19
6080 HOMBRE 81 PUBLICO 30 19
6295 HOMBRE 80 PRIVADO 30 19
9302 HOMBRE 82 PUBLICO 25.1 19.01
6338 HOMBRE 80 PUBLICO 26.2 19.1
6025 MUJER 78.3 PUBLICO 25.5 19.2
6025 MUJER 78.3 PUBLICO 25.5 19.2
9689 HOMBRE 82.5 PUBLICO 27.4 19.2
6935 HOMBRE 92 PRIVADO 26.5 19.25
8782 HOMBRE 65 PUBLICO 28.3 19.3
6384 HOMBRE 88 PUBLICO 20 19.5
7166 HOMBRE 90 PRIVADO 23.5 19.5
22320 HOMBRE 101 PRIVADO 24.5 19.5
7384 MUJER 61 PUBLICO 25 19.5
7043 MUJER 72 PUBLICO 25.5 19.5
6205 HOMBRE 81 PRIVADO 25.8 19.5
6623 HOMBRE 80 PUBLICO 26.5 19.5
7364 HOMBRE 73 PRIVADO 27 19.5
6539 HOMBRE 88.4 PUBLICO 27 19.5
6408 HOMBRE 85 PRIVADO 27 19.5
7300 HOMBRE 70 PRIVADO 27.1 19.5
6348 HOMBRE 85 PUBLICO 27.7 19.5
8138 HOMBRE 83 PUBLICO 32 19.5
6681 HOMBRE 83 PUBLICO 27.3 19.55
7731 MUJER 85.5 PUBLICO 26 19.6
9127 HOMBRE 88.6 PUBLICO 26.2 19.6
6279 HOMBRE 83 PUBLICO 26.3 19.6
6357 HOMBRE 97 PUBLICO 24.8 19.8
6935 HOMBRE 50 PUBLICO 27.4 19.8
8646 HOMBRE 89 PUBLICO 17 20
6386 MUJER 69 OTROS 25 20
6386 MUJER 69 OTROS 25 20
6205 HOMBRE 80 PRIVADO 25 20
7342 HOMBRE 98 PRIVADO 26 20
6022 HOMBRE 101 PUBLICO 26 20
6570 HOMBRE 81 PUBLICO 26 20
9685 HOMBRE 80 PUBLICO 26 20
7673 HOMBRE 115 PUBLICO 26.5 20
6823 MUJER 99 PUBLICO 27 20
6504 HOMBRE 73 OTROS 27 20
8398 HOMBRE 74 PUBLICO 27 20
6309 HOMBRE 86 PUBLICO 27 20
7713 HOMBRE 83.1 OTROS 27 20
6299 HOMBRE 68 PRIVADO 27 20
6299 HOMBRE 68 PRIVADO 27 20
6244 HOMBRE 77 PUBLICO 27.8 20
6606 HOMBRE 92 PUBLICO 28 20
7750 HOMBRE 81 PUBLICO 28 20
9534 HOMBRE 50 PUBLICO 28 20
7084 HOMBRE 84 PRIVADO 28 20
6466 HOMBRE 85 PUBLICO 28 20
6500 HOMBRE 79.9 PUBLICO 28 20
6770 HOMBRE 84 PRIVADO 28.5 20
7121 HOMBRE 110 PUBLICO 30 20
7886 HOMBRE 90 PUBLICO 30 20
6205 HOMBRE 80 PRIVADO 40 20
6271 HOMBRE 72 PRIVADO 27.2 20.3
6205 MUJER 88 PUBLICO 24 20.5
8457 HOMBRE 76 PUBLICO 26.5 20.5
6827 HOMBRE 108 PRIVADO 26.5 20.5
6205 HOMBRE 81 PRIVADO 28.5 20.5
6201 HOMBRE 87 PUBLICO 28.5 20.5
5979 HOMBRE 75 PUBLICO 30.3 20.65
7556 HOMBRE 79 OTROS 24.5 21
7556 HOMBRE 79 OTROS 24.5 21
7034 HOMBRE 77 PUBLICO 28 21
6251 HOMBRE 82 PRIVADO 28 21
6591 HOMBRE 83 PUBLICO 28.7 21
6335 HOMBRE 84 PUBLICO 31 21
6669 HOMBRE 90 PUBLICO 31.1 21.2
6635 HOMBRE 120 PRIVADO 19.5 21.3
9465 HOMBRE 84 PUBLICO 28 22
9465 HOMBRE 84 PUBLICO 28 22
7300 HOMBRE 79 PUBLICO 28 22
8800 HOMBRE 100 PUBLICO 28 22
7300 HOMBRE 77 PUBLICO 30 22
8623 HOMBRE 102 PUBLICO 25.3 22.3
