"Y" "X1" "X2" "X3"
930 22228 0 "JUE"
2268 24950 0 "VIE"
1553 23989 1 "SAB"
1417 24724 0 "DOM"
290 18460 1 "LUN"
2092 24726 1 "MAR"
1960 24426 0 "MIE"
881 21882 0 "JUE"
209 17389 0 "VIE"
104 15042 0 "SAB"
834 22891 0 "DOM"
1987 24470 1 "LUN"
2606 25428 0 "MAR"
2628 25392 0 "MIE"
239 17531 0 "JUE"
1149 22675 1 "VIE"
257 18358 0 "SAB"
129 16449 0 "DOM"
1472 23486 1 "LUN"
102 15114 1 "MAR"
823 21663 0 "MIE"
417 19520 0 "JUE"
440 19525 1 "VIE"
329 18969 0 "SAB"
936 23335 0 "DOM"
1368 23176 0 "LUN"
2147 24638 1 "MAR"
1495 23583 0 "MIE"
1287 23180 1 "JUE"
321 18471 0 "VIE"
204 17339 1 "SAB"
1236 24288 0 "DOM"
2127 24668 1 "LUN"
103 15122 0 "MAR"
333 18743 0 "MIE"
604 20421 0 "JUE"
1182 22698 1 "VIE"
2380 25345 0 "SAB"
131 16650 1 "DOM"
203 17464 1 "LUN"
780 21502 0 "MAR"
613 20866 1 "MIE"
911 22115 0 "JUE"
145 15787 0 "VIE"
95 15468 1 "SAB"
88 15830 0 "DOM"
809 21497 0 "LUN"
263 18109 0 "MAR"
275 18180 0 "MIE"
1655 23813 1 "JUE"
749 21317 1 "VIE"
629 21071 0 "SAB"
452 20962 0 "DOM"
1272 22975 0 "LUN"
2056 24618 0 "MAR"
450 19505 0 "MIE"
235 17485 0 "JUE"
291 18298 1 "VIE"
2038 24852 0 "SAB"
1632 25086 0 "DOM"
238 17542 1 "LUN"
1156 22517 1 "MAR"
1796 24008 1 "MIE"
867 21812 0 "JUE"
1417 23334 0 "VIE"
575 20809 0 "SAB"
75 15161 0 "DOM"
160 16612 0 "LUN"
201 17172 0 "MAR"
787 21552 0 "MIE"
189 16799 0 "JUE"
157 16385 1 "VIE"
969 22336 1 "SAB"
170 18135 0 "DOM"
785 21606 0 "LUN"
1737 24119 0 "MAR"
713 21308 0 "MIE"
1157 22803 0 "JUE"
1632 23795 0 "VIE"
1778 24472 0 "SAB"
173 18000 0 "DOM"
266 18081 0 "LUN"
1274 23034 0 "MAR"
252 18021 0 "MIE"
284 18422 0 "JUE"
1350 23215 0 "VIE"
132 16207 0 "SAB"
1532 25062 0 "DOM"
186 17148 0 "LUN"
1814 24177 0 "MAR"
842 21832 0 "MIE"
713 20953 0 "JUE"
1324 23196 0 "VIE"
125 15536 0 "SAB"
121 16810 0 "DOM"
116 15034 0 "LUN"
409 19258 0 "MAR"
950 22300 1 "MIE"
347 18522 0 "JUE"
2552 25348 0 "VIE"
129 15882 0 "SAB"
1146 23907 0 "DOM"
224 17515 1 "LUN"
837 21630 0 "MAR"
644 20880 0 "MIE"
425 19554 1 "JUE"
1569 23742 1 "VIE"
1889 24722 0 "SAB"
179 17756 0 "DOM"
398 19266 0 "LUN"
1355 23142 0 "MAR"
1570 23731 0 "MIE"
1871 24315 1 "JUE"
1397 23310 1 "VIE"
95 15128 0 "SAB"
132 17056 1 "DOM"
421 19502 0 "LUN"
362 18895 0 "MAR"
1588 23823 0 "MIE"
391 19181 0 "JUE"
123 15115 0 "VIE"
630 21057 0 "SAB"
703 22404 0 "DOM"
136 16151 0 "LUN"
246 17674 0 "MAR"
1760 23962 0 "MIE"
448 19832 0 "JUE"
321 18622 0 "VIE"
973 22447 1 "SAB"
160 17962 1 "DOM"
893 22092 0 "LUN"
253 18157 0 "MAR"
1164 22710 0 "MIE"
441 19535 0 "JUE"
1089 22687 1 "VIE"
254 18324 0 "SAB"
1040 23947 0 "DOM"
143 15618 1 "LUN"
236 17490 1 "MAR"
905 22065 1 "MIE"
668 21093 0 "JUE"
1905 24306 0 "VIE"
491 20148 1 "SAB"
656 22318 0 "DOM"
628 20742 0 "LUN"
112 15013 1 "MAR"
255 18069 1 "MIE"
910 21880 1 "JUE"
203 16676 0 "VIE"
125 15606 0 "SAB"
1399 24605 0 "DOM"
1089 22524 0 "LUN"
162 16660 0 "MAR"
1456 23588 0 "MIE"
319 18432 0 "JUE"
105 15017 0 "VIE"
439 19580 1 "SAB"
681 22243 1 "DOM"
2227 24813 0 "LUN"
111 15253 0 "MAR"
135 15983 1 "MIE"
338 19027 0 "JUE"
342 18508 1 "VIE"
338 18867 0 "SAB"
438 21169 0 "DOM"
541 20211 0 "LUN"
157 16061 0 "MAR"
2364 25070 0 "MIE"
844 21500 0 "JUE"
1269 23220 0 "VIE"
1828 24582 0 "SAB"
991 23509 1 "DOM"
760 21603 0 "LUN"
170 16353 0 "MAR"
178 15884 0 "MIE"
1689 24023 1 "JUE"
819 21656 0 "VIE"
143 16377 0 "SAB"
105 15737 0 "DOM"
350 18996 0 "LUN"
751 21489 0 "MAR"
237 17673 0 "MIE"
1591 23729 0 "JUE"
235 18007 1 "VIE"
93 15108 0 "SAB"
632 22176 0 "DOM"
111 15060 0 "LUN"
1063 22267 0 "MAR"
135 15848 0 "MIE"
209 16934 0 "JUE"
950 22222 1 "VIE"
400 19419 1 "SAB"
338 20024 0 "DOM"
255 17607 1 "LUN"
492 20019 0 "MAR"
308 18447 0 "MIE"
166 16430 0 "JUE"
258 17652 0 "VIE"
693 21180 0 "SAB"
551 21779 1 "DOM"
2603 25308 0 "LUN"
674 21028 0 "MAR"
1374 23270 0 "MIE"
602 20549 0 "JUE"
303 17993 0 "VIE"
487 20509 0 "SAB"
159 17441 0 "DOM"
117 15121 1 "LUN"
192 16703 0 "MAR"
163 16112 0 "MIE"
273 17981 0 "JUE"
1777 24059 0 "VIE"
325 19053 1 "SAB"
696 22349 0 "DOM"
133 16115 0 "LUN"
1693 23868 1 "MAR"
721 21008 0 "MIE"
641 20965 0 "JUE"
1166 22878 0 "VIE"
193 17106 0 "SAB"
1761 25231 0 "DOM"
1356 23331 1 "LUN"
346 18823 0 "MAR"
452 19449 0 "MIE"
199 17107 1 "JUE"
549 20477 0 "VIE"
406 19888 0 "SAB"
1551 24971 0 "DOM"
277 18216 1 "LUN"
1499 23723 0 "MAR"
113 15154 0 "MIE"
861 21849 0 "JUE"
778 21519 0 "VIE"
708 21543 1 "SAB"
771 22743 1 "DOM"
109 15112 1 "LUN"
131 15920 0 "MAR"
102 15206 0 "MIE"
543 20354 1 "JUE"
802 21654 0 "VIE"
616 20911 0 "SAB"
449 21043 0 "DOM"
468 19945 1 "LUN"
945 22010 1 "MAR"
219 17434 0 "MIE"
165 16701 0 "JUE"
150 16228 1 "VIE"
195 17815 0 "SAB"
243 19064 0 "DOM"
1509 23412 1 "LUN"
462 19776 0 "MAR"
150 15761 0 "MIE"
636 20651 0 "JUE"
316 18748 1 "VIE"
139 16583 1 "SAB"
263 19159 0 "DOM"
1536 23513 0 "LUN"
466 19585 1 "MAR"
491 20228 0 "MIE"
124 15235 1 "JUE"
1891 24377 1 "VIE"
1580 24104 0 "SAB"
525 21555 0 "DOM"
2154 24680 1 "LUN"
262 17955 0 "MAR"
798 21507 0 "MIE"
1278 23070 1 "JUE"
768 21382 1 "VIE"
88 15031 0 "SAB"
165 17617 1 "DOM"
672 20977 0 "LUN"
268 18142 1 "MAR"
112 15076 0 "MIE"
165 16683 1 "JUE"
136 15734 0 "VIE"
500 20156 0 "SAB"
87 15829 0 "DOM"
176 16917 0 "LUN"
175 17018 1 "MAR"
471 19764 0 "MIE"
2041 24670 0 "JUE"
456 19839 0 "VIE"
477 20174 1 "SAB"
271 19189 0 "DOM"
440 19434 0 "LUN"
411 19213 0 "MAR"
2323 24902 1 "MIE"
1766 24147 1 "JUE"
432 19631 0 "VIE"
123 16195 1 "SAB"
122 16564 0 "DOM"
481 19865 1 "LUN"
467 19821 1 "MAR"
1962 24330 0 "MIE"
147 15912 1 "JUE"
1464 23577 0 "VIE"
135 16019 0 "SAB"
482 21236 0 "DOM"
286 18122 0 "LUN"
306 18842 0 "MAR"
603 20674 0 "MIE"
1953 24452 1 "JUE"
773 21400 0 "VIE"
562 20572 0 "SAB"
393 20570 0 "DOM"
977 22002 0 "LUN"
293 18303 0 "MAR"
1589 23784 0 "MIE"
275 18164 1 "JUE"
1820 24123 0 "VIE"
653 21269 0 "SAB"
257 19156 0 "DOM"
1738 23995 0 "LUN"
350 18857 0 "MAR"
245 17926 1 "MIE"
2372 24969 0 "JUE"
285 18346 0 "VIE"
430 19651 0 "SAB"
155 17265 0 "DOM"
536 19983 1 "LUN"
1459 23487 0 "MAR"
553 20695 0 "MIE"
192 17073 1 "JUE"
296 18190 1 "VIE"
2419 25268 1 "SAB"
125 16651 0 "DOM"
556 20498 0 "LUN"
88 15090 0 "MAR"
143 16402 0 "MIE"
555 20593 0 "JUE"
436 19521 0 "VIE"
255 17709 0 "SAB"
1243 24262 0 "DOM"
1503 23597 0 "LUN"
139 15733 1 "MAR"
120 15669 1 "MIE"
222 17798 0 "JUE"
133 15721 0 "VIE"
803 21952 1 "SAB"
282 19690 0 "DOM"
110 15053 0 "LUN"
473 19714 0 "MAR"
193 17036 1 "MIE"
116 15817 0 "JUE"
212 17165 1 "VIE"
151 16421 0 "SAB"
272 19374 0 "DOM"
307 18661 0 "LUN"
1681 23949 0 "MAR"
1012 22268 1 "MIE"
506 20254 0 "JUE"
302 18542 0 "VIE"
1459 23639 0 "SAB"
72 15028 0 "DOM"
782 21877 0 "LUN"
341 18894 1 "MAR"
331 18851 1 "MIE"
1493 23591 1 "JUE"
184 16794 0 "VIE"
112 16109 0 "SAB"
1149 23865 0 "DOM"
312 18482 0 "LUN"
1007 22252 0 "MAR"
773 21428 0 "MIE"
161 16142 1 "JUE"
986 22128 1 "VIE"
469 20044 0 "SAB"
252 19133 0 "DOM"
393 19004 0 "LUN"
230 17540 1 "MAR"
335 18677 0 "MIE"
152 16096 0 "JUE"
1349 23389 0 "VIE"
386 19263 1 "SAB"
428 20709 1 "DOM"
138 15344 1 "LUN"
199 17212 1 "MAR"
904 21984 0 "MIE"
158 16499 0 "JUE"
295 18362 0 "VIE"
1734 24427 0 "SAB"
691 22463 0 "DOM"
212 17146 1 "LUN"
280 17902 1 "MAR"
1319 22976 1 "MIE"
119 15439 0 "JUE"
1200 22836 0 "VIE"
146 16113 0 "SAB"
138 16920 0 "DOM"
961 22123 0 "LUN"
200 16670 0 "MAR"
1414 23490 0 "MIE"
384 18888 0 "JUE"
1297 23227 0 "VIE"
188 16954 0 "SAB"
197 18133 0 "DOM"
2116 24701 0 "LUN"
468 19778 0 "MAR"
727 21223 0 "MIE"
245 17715 1 "JUE"
1527 23621 1 "VIE"
171 16578 0 "SAB"
193 18310 0 "DOM"
594 20587 0 "LUN"
93 15444 0 "MAR"
277 17727 1 "MIE"
605 20771 1 "JUE"
883 21825 1 "VIE"
2250 25201 0 "SAB"
127 16791 0 "DOM"
252 17769 1 "LUN"
241 17748 0 "MAR"
1179 22835 0 "MIE"
304 18290 0 "JUE"
671 21024 0 "VIE"
576 20712 1 "SAB"
695 22449 1 "DOM"
399 19378 0 "LUN"
155 16001 1 "MAR"
203 16885 1 "MIE"
646 20740 0 "JUE"
182 16590 1 "VIE"
334 18912 0 "SAB"
343 20066 0 "DOM"
2517 25317 0 "LUN"
243 17887 1 "MAR"
1112 22478 0 "MIE"
665 21056 0 "JUE"
1023 22191 0 "VIE"
769 21389 0 "SAB"
65 15486 0 "DOM"
211 17247 0 "LUN"
415 19626 0 "MAR"
373 18819 0 "MIE"
1817 24241 0 "JUE"
1029 22549 0 "VIE"
405 19255 1 "SAB"
74 15377 0 "DOM"
461 19803 1 "LUN"
294 18417 0 "MAR"
1064 22381 1 "MIE"
175 16615 0 "JUE"
2183 24848 0 "VIE"
310 18771 0 "SAB"
347 19987 0 "DOM"
1415 23324 0 "LUN"
1252 23077 0 "MAR"
1198 22766 1 "MIE"
186 16974 0 "JUE"
665 20989 1 "VIE"
214 17115 0 "SAB"
336 20285 0 "DOM"
1508 23624 1 "LUN"
131 15768 0 "MAR"
1938 24434 0 "MIE"
2063 24557 0 "JUE"
768 21601 0 "VIE"
321 18739 1 "SAB"
1269 24370 1 "DOM"
340 18647 0 "LUN"
133 15971 0 "MAR"
1425 23408 0 "MIE"
1817 24280 0 "JUE"
380 19146 0 "VIE"
253 18206 0 "SAB"
1333 24444 0 "DOM"
643 20609 1 "LUN"
1439 23466 0 "MAR"
293 18569 0 "MIE"
591 20648 1 "JUE"
319 18560 0 "VIE"
1966 24833 0 "SAB"
1493 24765 0 "DOM"
770 21430 0 "LUN"
208 17064 0 "MAR"
436 19689 0 "MIE"
198 17044 0 "JUE"
1676 23879 0 "VIE"
768 21777 0 "SAB"
373 20224 0 "DOM"
865 21768 1 "LUN"
902 22007 0 "MAR"
2788 25380 1 "MIE"
136 15611 0 "JUE"
620 20874 0 "VIE"
460 20340 0 "SAB"
463 21138 0 "DOM"
659 20863 0 "LUN"
1315 23073 1 "MAR"
829 21831 0 "MIE"
472 19720 1 "JUE"
267 17806 1 "VIE"
1171 23125 0 "SAB"
1061 23592 1 "DOM"
119 15270 0 "LUN"
1445 23370 0 "MAR"
166 16240 0 "MIE"
564 20275 1 "JUE"
862 21739 0 "VIE"
894 22273 1 "SAB"
87 15230 1 "DOM"
1193 22933 0 "LUN"
202 16708 0 "MAR"
478 19904 1 "MIE"
718 21242 1 "JUE"
662 20871 1 "VIE"
1524 23803 0 "SAB"
251 18845 1 "DOM"
2680 25420 1 "LUN"
1061 22515 1 "MAR"
1210 23057 0 "MIE"
873 21972 0 "JUE"
736 21182 0 "VIE"
385 19381 0 "SAB"
354 20162 0 "DOM"
188 16544 1 "LUN"
422 19549 0 "MAR"
495 20435 0 "MIE"
176 16834 0 "JUE"
114 15530 0 "VIE"
184 17031 0 "SAB"
200 18060 0 "DOM"
122 15471 0 "LUN"
591 20519 0 "MAR"
307 18532 0 "MIE"
317 18724 0 "JUE"
998 22295 1 "VIE"
1168 23021 1 "SAB"
90 16082 1 "DOM"
