MASA ESTATURA GASTO SEXO CIUDAD
71.6 177.9 2000 Hombre CARTAGENA
73.9 162.4 97715.1 Mujer BOGOTA
68.3 177.4 14887.3 Mujer BARRANQUILLA
58.7 174.5 5747.4 Hombre ARMENIA
60.4 173.8 2000 Hombre MEDELLIN
63.8 175.9 2000 Mujer CARTAGENA
60.5 177.1 2000 Hombre MEDELLIN
59.8 173.3 33421.6 Mujer CALI
86.1 162.1 120280.3 Hombre ARMENIA
69.5 162.1 25776.9 Mujer BARRANQUILLA
61 162.1 10946.6 Hombre BOGOTA
64.7 167.6 2000 Mujer CARTAGENA
46.3 171.8 80198.9 Hombre BOGOTA
73.1 165.1 2000 Mujer ARMENIA
53.8 177.7 2000 Hombre CARTAGENA
80.7 168.4 2000 Hombre BARRANQUILLA
61.6 153.2 2000 Hombre CARTAGENA
76.7 187.2 78280.2 Mujer ARMENIA
60 182.2 43447.6 Mujer CALI
105.6 186.5 2000 Mujer CARTAGENA
62.4 178.9 7868.1 Hombre MEDELLIN
66.1 153.9 2000 Mujer BOGOTA
57.5 169.5 42069.8 Hombre BARRANQUILLA
45 175 2000 Mujer CALI
45 173.9 108371.6 Mujer BOGOTA
45 176.6 40453.6 Hombre ARMENIA
56.1 175 2000 Mujer ARMENIA
62 153.2 38672 Mujer BARRANQUILLA
45 169.5 86955.7 Hombre CARTAGENA
83.7 167.1 2000 Mujer BOGOTA
45 170.9 72505.9 Hombre CARTAGENA
46.2 156.6 36503.1 Mujer MEDELLIN
73.2 168.3 6145.3 Hombre CALI
55.9 175.8 5903.6 Hombre BOGOTA
65.5 163.9 11526.1 Hombre MEDELLIN
52.5 164.4 53627.4 Hombre CARTAGENA
45 173.7 36151.5 Mujer CARTAGENA
84.6 178.7 26942.9 Hombre BARRANQUILLA
58 161.4 83784.5 Hombre MEDELLIN
73.4 180.7 32496.6 Hombre CALI
54.5 169.9 58877.6 Mujer BARRANQUILLA
50.6 185.3 23375.1 Hombre ARMENIA
74.1 190 133492.2 Hombre BOGOTA
86.6 180.7 5662.8 Hombre CALI
70.2 171.7 8269 Mujer CARTAGENA
64.2 173.5 83417.2 Mujer CALI
74.1 159.7 2000 Mujer MEDELLIN
61.1 181.1 20841.1 Hombre MEDELLIN
53.3 186.1 8445.8 Mujer ARMENIA
68.7 167.9 9962.9 Mujer BARRANQUILLA
81 171.4 17435.4 Hombre BARRANQUILLA
47 165.8 2000 Hombre CALI
66.4 162.2 47229.4 Hombre ARMENIA
71.7 181.6 40805.2 Hombre CARTAGENA
53.4 157.3 2000 Hombre CALI
68.7 180.1 124576.6 Mujer BOGOTA
68.9 158.2 41023.6 Hombre CALI
55.4 167.9 15200.8 Mujer CARTAGENA
68 166.2 51110.8 Hombre BOGOTA
49.5 164.1 131257.2 Mujer MEDELLIN
61.5 172.2 67428.9 Hombre MEDELLIN
83 167.7 2000 Mujer MEDELLIN
68.5 178.7 2000 Hombre BARRANQUILLA
45 178 12394.7 Hombre CARTAGENA
70.6 185.6 21116 Mujer BOGOTA
64.3 180.6 98432 Hombre ARMENIA
70.1 167.6 72836 Mujer CARTAGENA
63.2 187.5 86216.3 Hombre CARTAGENA
51 155.8 63846.3 Hombre MEDELLIN
68.5 177.8 86967.3 Hombre BOGOTA
76 167 93616.1 Hombre MEDELLIN
63.5 156.8 48685.5 Hombre BOGOTA
58.1 179.2 768.1 Mujer BARRANQUILLA
68.6 175.3 85835.8 Mujer CALI
80.3 170.2 68781 Hombre CALI
65.5 170.9 2000 Mujer BOGOTA
61.5 167 2000 Hombre BARRANQUILLA
51.1 167.2 61886.7 Mujer CARTAGENA
54.7 168.2 77137.9 Mujer ARMENIA
62 160.3 8733.4 Hombre BARRANQUILLA
57 171.9 2000 Mujer MEDELLIN
70.2 165.8 38204.6 Hombre ARMENIA
64.5 176.4 2000 Hombre CALI
70.3 163.1 71178.1 Mujer CALI
69.3 162 2000 Mujer CARTAGENA
61.3 178.5 98691.7 Mujer ARMENIA
54.6 148.9 2000 Mujer BOGOTA
87.6 167.6 2000 Hombre MEDELLIN
45.4 176.6 104614.7 Mujer ARMENIA
45 159.3 61169.7 Hombre CALI
62.2 170.3 2000 Mujer MEDELLIN
62.1 174.3 58457.6 Mujer MEDELLIN
53.1 155.6 37971.6 Mujer CALI
46.6 157.4 81082.4 Hombre BOGOTA
52.7 150.9 2125 Mujer CARTAGENA
69.2 170.9 9405.7 Hombre BARRANQUILLA
51.8 166.1 94562.7 Mujer CALI
69.4 177.1 7453.3 Hombre CARTAGENA
60.8 150.9 61493.8 Hombre MEDELLIN
62.3 174.6 19661.2 Mujer CARTAGENA
49.6 170 32500.6 Hombre BOGOTA
66.8 172.4 2000 Hombre BOGOTA
45.2 181.8 81755.6 Mujer BOGOTA
52.2 176.3 100835 Mujer ARMENIA
45 175.3 91341.3 Mujer ARMENIA
56 170.4 59053.1 Hombre ARMENIA
76.7 180.9 41081.4 Hombre CARTAGENA
51.8 174.1 18971.4 Mujer BARRANQUILLA
52.3 169.8 41766.4 Hombre BARRANQUILLA
60.2 176 2000 Hombre CARTAGENA
56.8 160.9 13919.6 Mujer BARRANQUILLA
60 177.8 62286.9 Mujer BARRANQUILLA
58.4 164.7 23589.6 Hombre BOGOTA
70.6 168.2 80596.7 Hombre BARRANQUILLA
58.7 168.6 2000 Hombre BARRANQUILLA
91.7 167.9 71135 Hombre BARRANQUILLA
49.4 147.9 62875.5 Mujer BARRANQUILLA
72.1 167.1 13235 Hombre MEDELLIN
66.8 165.9 2000 Hombre BOGOTA
51.8 168.8 147984 Hombre BOGOTA
59.2 175.8 2000 Hombre CALI
45 167.8 132206.7 Mujer BOGOTA
76.5 153.6 14614.1 Mujer BOGOTA
45 167 2000 Mujer CALI
66.2 150.5 30010.9 Hombre CALI
59.1 166.7 124965.3 Mujer CALI
66.9 148.5 80783 Mujer ARMENIA
56.1 174.5 31391.5 Mujer ARMENIA
65.5 174.3 2000 Mujer MEDELLIN
51.1 168.8 2000 Mujer MEDELLIN
57.6 174.9 53751.9 Hombre CALI
54.6 157 2000 Hombre ARMENIA
45 179.5 16901.6 Hombre CALI
70 170.2 22046.9 Mujer ARMENIA
55.4 173.8 2000 Mujer BARRANQUILLA
70.9 180.7 55923.5 Hombre CARTAGENA
56.2 168.8 242776.8 Hombre MEDELLIN
54.5 191.5 38537.2 Hombre MEDELLIN
45 161.3 2000 Hombre MEDELLIN
61.2 175.4 9546.2 Hombre BOGOTA
60.7 181 2000 Hombre MEDELLIN
60 158.7 2000 Hombre CARTAGENA
69.5 156.8 2000 Mujer ARMENIA
63.2 161.5 2000 Mujer MEDELLIN
66.6 157.1 49107.5 Hombre CALI
56.5 172.2 40931.3 Hombre BOGOTA
61.2 176.1 42367.4 Hombre CALI
65.4 160.4 13870 Mujer BARRANQUILLA
58 167.5 2000 Mujer ARMENIA
67.1 161.7 54301.9 Mujer CALI
57 161.2 84744.9 Mujer BOGOTA
50.1 163.1 2000 Hombre ARMENIA
78.2 164 16929.1 Hombre ARMENIA
75.3 167.9 71263.1 Hombre BARRANQUILLA
70.2 163.8 92327.8 Hombre BOGOTA
51.2 181 114119.1 Mujer MEDELLIN
52.8 158.3 16436 Mujer CALI
76.6 167.9 2000 Mujer CALI
52 169.3 2000 Mujer CALI
57.4 176.8 55201.3 Mujer BOGOTA
45.6 166.4 151901.4 Mujer ARMENIA
45 161 2000 Mujer BOGOTA
49.9 173.6 71688.4 Mujer CALI
52.7 167.2 68489 Hombre CARTAGENA
67 181 2000 Hombre CALI
71.7 158.5 2000 Hombre CARTAGENA
67.4 171.5 2000 Hombre BOGOTA
60.1 164.1 18591.1 Hombre CALI
92.7 186.6 29852.2 Mujer ARMENIA
67.3 158.3 15562.5 Hombre ARMENIA
55.2 178.5 44245.1 Hombre ARMENIA
67.4 179.2 2000 Hombre CARTAGENA
82.5 161.4 2000 Hombre CALI
51.9 161.3 111124.4 Hombre BARRANQUILLA
73.5 175.4 2000 Hombre MEDELLIN
71.3 171.1 45042.5 Hombre CARTAGENA
58.6 164.4 2000 Mujer ARMENIA
66.2 177 9250.9 Hombre CALI
70.8 176.7 18028.4 Mujer BOGOTA
77.2 170.7 82916.8 Mujer ARMENIA
69.4 171.3 2000 Hombre MEDELLIN
65.1 166.6 77124.5 Hombre ARMENIA
87.8 177.3 80798.6 Mujer BARRANQUILLA
66.3 184.3 16045.9 Mujer BARRANQUILLA
79.4 177.8 41142.5 Mujer CALI
62.7 165.6 2000 Mujer MEDELLIN
73.9 181.8 30168.7 Hombre ARMENIA
67.8 170.4 2000 Hombre BOGOTA
70.2 172 101231.4 Mujer MEDELLIN
65.9 160.7 83711.6 Mujer MEDELLIN
74 175.2 54053.5 Hombre ARMENIA
66 169.1 2000 Hombre BARRANQUILLA
64.2 147.6 31634.8 Hombre CALI
45.9 175.2 21663.6 Mujer ARMENIA
62.8 181.4 57348.4 Mujer CARTAGENA
49.6 168.9 101949.2 Mujer CARTAGENA
57.9 176.5 2000 Hombre MEDELLIN
64.8 165.8 68166.9 Mujer MEDELLIN
60.1 154.2 10471.8 Hombre ARMENIA
58.8 161.4 2000 Mujer ARMENIA
58 171.6 2000 Mujer CARTAGENA
73.6 159.7 2000 Mujer ARMENIA
64.1 174.5 2000 Mujer CARTAGENA
55.9 172.9 94525.4 Mujer MEDELLIN
51.4 178.8 96770.6 Mujer MEDELLIN
66.3 158.7 2000 Hombre CARTAGENA
53.5 180.6 2000 Mujer BOGOTA
76 166 22877.6 Mujer MEDELLIN
51.7 152.8 103931.2 Mujer MEDELLIN
70.6 170.1 22331.8 Mujer CALI
70.3 175.2 33753.2 Mujer BARRANQUILLA
67.9 181.9 2000 Mujer CALI
69.4 166.7 112376.5 Hombre ARMENIA
66.1 175.6 67343.4 Hombre CARTAGENA
69.8 174.8 29152.4 Mujer BOGOTA
60.6 169.9 2000 Hombre BARRANQUILLA
45 190.1 2000 Mujer CARTAGENA
73.4 169.2 2000 Hombre MEDELLIN
57 166.5 78112.2 Hombre CARTAGENA
74.1 163.5 2000 Hombre ARMENIA
50.6 170.2 29847.3 Hombre BARRANQUILLA
65.3 168.5 19780.5 Hombre BARRANQUILLA
86.7 161.5 68680.1 Hombre BOGOTA
63.6 162.7 2000 Hombre CARTAGENA
49.5 179.9 35377.2 Mujer BOGOTA
58.3 174.5 42716 Hombre CALI
51.9 163.7 15457.8 Hombre BOGOTA
65.9 171.3 2000 Hombre ARMENIA
62.9 167.9 45956.9 Hombre CALI
78.5 166.9 65413.1 Mujer CARTAGENA
65.2 167.7 4576.1 Hombre BOGOTA
68.7 166.2 2000 Mujer CARTAGENA
52.2 174.7 97592.5 Hombre CALI
74.4 157.5 51967.1 Mujer MEDELLIN
76.8 172.1 2000 Mujer BOGOTA
63.6 180.1 103431 Mujer MEDELLIN
46.3 168.8 2000 Mujer ARMENIA
56.3 170.1 33059.8 Mujer BARRANQUILLA
46.3 159.6 170458.8 Hombre CALI
74.9 181.6 78838.9 Mujer ARMENIA
64.5 174.4 12000.7 Hombre BOGOTA
59.7 162 20221.7 Hombre BARRANQUILLA
80.8 176.9 23708.3 Mujer CARTAGENA
67.8 164.6 14764.3 Hombre ARMENIA
58.8 181.5 39783.5 Mujer MEDELLIN
76.6 182.8 53158.1 Hombre MEDELLIN
57.5 180.3 2000 Hombre CARTAGENA
73.5 180.3 45488.7 Hombre CALI
47.1 179.8 13360.5 Hombre CALI
50.4 170.2 2000 Mujer BARRANQUILLA
46.8 153.5 2000 Hombre BARRANQUILLA
69.2 163.3 2000 Mujer MEDELLIN
99.6 179.5 19480.2 Hombre BOGOTA
70.3 162.4 121168 Mujer MEDELLIN
73.2 164 2000 Hombre BARRANQUILLA
69.7 184.1 2000 Mujer CALI
56.6 163.3 2000 Mujer ARMENIA
56.9 176.4 26145 Hombre ARMENIA
53.4 185.7 2000 Mujer BARRANQUILLA
68 173.5 7293.8 Hombre BARRANQUILLA
86.1 179 2000 Hombre CALI
45 171 50020.1 Hombre ARMENIA
55.6 172.1 2000 Mujer ARMENIA
78.4 193.5 62479.5 Hombre CALI
62.3 156.9 106003 Mujer CARTAGENA
84.4 173.1 49990.3 Hombre MEDELLIN
45 157.6 19718.2 Hombre CALI
58.4 183.8 3204.5 Hombre BOGOTA
70.6 169.6 2000 Hombre MEDELLIN
77.3 166.8 2000 Hombre BOGOTA
55.1 176.5 93541.9 Hombre CARTAGENA
83.7 188.7 49544.5 Mujer ARMENIA
54.3 153.6 17348.1 Hombre ARMENIA
71.1 144.2 2000 Hombre CALI
62.1 168.9 2000 Hombre MEDELLIN
56.5 148.8 85434.4 Mujer BARRANQUILLA
63.4 177.4 8082.9 Mujer CALI
45 168.6 35433.9 Hombre MEDELLIN
45 158.4 74293.9 Hombre MEDELLIN
65 166.7 59866.7 Mujer BARRANQUILLA
74.4 179.4 2000 Hombre CALI
78.8 165.7 120648.4 Mujer MEDELLIN
55.5 173.5 55794.3 Hombre BARRANQUILLA
70.5 181.3 6308.4 Mujer CALI
64.9 171.1 8611.2 Mujer MEDELLIN
45 190.2 20438.2 Hombre BOGOTA
71 173.3 43613.1 Hombre CALI
56.9 164.3 126428.1 Hombre ARMENIA
81.7 184.9 51956.4 Mujer BARRANQUILLA
48.7 173.4 103211.6 Mujer BOGOTA
58.9 156 107195.6 Mujer ARMENIA
89.5 165.4 124137.4 Mujer ARMENIA
68.8 180.4 85700.7 Mujer CARTAGENA
72.7 163.5 54136.4 Hombre MEDELLIN
55.4 185.8 61441.6 Mujer BOGOTA
80 172.4 138155.3 Mujer BARRANQUILLA
75.2 165 73738.8 Hombre BARRANQUILLA
59.9 173.6 77570.8 Mujer BARRANQUILLA
73.1 182.1 96091.7 Mujer BARRANQUILLA
76.2 162.7 2000 Mujer CALI
72.8 176.1 16794.4 Hombre ARMENIA
78.1 175.4 14658.3 Hombre BARRANQUILLA
57.6 171.1 59437.1 Mujer ARMENIA
78 165.8 2000 Hombre MEDELLIN
63.9 163.8 64536.5 Hombre BARRANQUILLA
67.2 169.5 113895.1 Hombre CALI
52.4 164.8 2000 Hombre CARTAGENA
48.1 171.9 41840.7 Hombre ARMENIA
55.7 173.3 84580 Hombre ARMENIA
74.7 190.6 65992.5 Hombre BARRANQUILLA
58.9 166 49763.7 Hombre CALI
67.6 167.1 2000 Mujer CARTAGENA
55.7 168.6 45236.4 Hombre BARRANQUILLA
53.1 168.8 2000 Hombre BARRANQUILLA
58.8 174 49693.7 Hombre BARRANQUILLA
62.2 190.4 21552.7 Hombre BOGOTA
64.5 171.6 47186 Hombre ARMENIA
66.7 167.5 2000 Hombre BARRANQUILLA
69.3 169.7 56598.4 Hombre BARRANQUILLA
45 182.8 28665.2 Hombre ARMENIA
63.3 167.6 112916.9 Mujer MEDELLIN
71.6 158.2 100524.1 Hombre BOGOTA
59.3 167.7 22923.9 Mujer MEDELLIN
50.6 159.2 74368.1 Mujer BARRANQUILLA
67.5 167.2 45779.7 Hombre BOGOTA
82.2 175.3 64410.2 Hombre CARTAGENA
45 154.7 2000 Hombre ARMENIA
45.6 165.2 108450 Mujer MEDELLIN
82.8 169.8 55481.2 Mujer BARRANQUILLA
70.5 171.7 148654.4 Mujer ARMENIA
55.3 182.2 127961.3 Mujer BARRANQUILLA
52.9 180.8 64576.1 Mujer BOGOTA
76 164.4 67568.2 Mujer BOGOTA
64.9 168.4 8060.5 Mujer BOGOTA
48.1 155.1 2000 Hombre CALI
80.7 157.9 98824.6 Hombre MEDELLIN
80 160.8 2000 Mujer MEDELLIN
57.8 172.1 95180.8 Hombre ARMENIA
46.9 162.8 152690.6 Hombre BOGOTA
62.3 178.6 64025.8 Hombre CALI
78.5 173.1 117638.9 Mujer CALI
48.2 182.4 5846.9 Hombre CARTAGENA
54.2 180 26779.4 Mujer CARTAGENA
62.8 170.9 44320 Mujer BARRANQUILLA
77.6 167.3 2000 Hombre CALI
62.7 156.3 83521.9 Hombre ARMENIA
80 174.8 57716.3 Mujer CARTAGENA
66.9 168.8 2000 Mujer CALI
45 173 155630.5 Hombre MEDELLIN
57.1 168 1465 Mujer ARMENIA
47.5 183.7 46428.1 Hombre MEDELLIN
45 176.3 36539.6 Mujer MEDELLIN
79.1 175.9 2000 Mujer ARMENIA
72.9 162.2 1153.9 Hombre CALI
69 167.5 16400.5 Mujer MEDELLIN
66.4 163.3 23219 Hombre MEDELLIN
52.1 177 61126.6 Hombre CALI
76.2 167.4 134571.9 Mujer ARMENIA
50.2 176 96114 Mujer CALI
56.4 152.5 2000 Hombre CALI
60.7 171.6 8683 Mujer ARMENIA
72 160.1 23887.6 Hombre CALI
78.9 171.3 47862.6 Hombre ARMENIA
63.4 176.4 26115.4 Hombre BARRANQUILLA
68.1 164.9 2000 Mujer MEDELLIN
52 170 51786.7 Mujer CALI
73.1 158.6 2000 Mujer CARTAGENA
48.7 163.7 2000 Mujer ARMENIA
58.4 153 41290.2 Hombre CALI
83.8 168.6 69557 Mujer CARTAGENA
63.9 167 2000 Mujer ARMENIA
66.5 178.9 2000 Hombre MEDELLIN
48.3 174.1 2000 Hombre MEDELLIN
68.4 169.8 92952.4 Mujer CARTAGENA
62.3 174.8 13617.7 Mujer ARMENIA
56.3 162.9 19445.6 Hombre ARMENIA
57.7 171.6 32964.8 Mujer CARTAGENA
64.6 155.4 68668.8 Mujer MEDELLIN
63.8 154.8 102392.1 Mujer CALI
51.9 178.5 2000 Hombre MEDELLIN
52.4 170.7 72149.8 Hombre CALI
72.3 182.8 63401.7 Hombre BARRANQUILLA
57.7 168.5 27711.9 Hombre CALI
77.8 157.5 17019.3 Hombre ARMENIA
108.3 161.8 14271.3 Hombre BARRANQUILLA
67 184 45344.2 Hombre CARTAGENA
61.2 153.5 11993.5 Hombre BARRANQUILLA
88.2 162.4 2000 Mujer BARRANQUILLA
74.1 181.6 156379.4 Hombre ARMENIA
56 168.6 77691.9 Hombre BARRANQUILLA
68 153.8 2000 Mujer CALI
60.9 167.3 61598.7 Hombre CALI
83.9 174.1 95944.8 Hombre CALI
71.8 179.7 2000 Mujer BARRANQUILLA
48.8 161.1 2000 Mujer CALI
74.2 186.8 75939.7 Hombre BARRANQUILLA
71.9 169.9 82933.1 Mujer CALI
48.8 175.1 170262.7 Hombre ARMENIA
75.3 164.5 6726.3 Hombre ARMENIA
77 181.7 17112.9 Mujer BOGOTA
76.7 182.1 141488.3 Mujer BOGOTA
56.6 165 37491.5 Mujer BARRANQUILLA
72.8 163.5 2000 Hombre CALI
88.4 163.1 2000 Mujer MEDELLIN
52.8 184.2 38824.6 Mujer CARTAGENA
83.8 174.9 98493.1 Mujer ARMENIA
65.3 171.9 2000 Hombre CALI
71.7 179 69006.4 Mujer BARRANQUILLA
45.1 165.1 9336.8 Hombre MEDELLIN
69.4 167.6 94805.9 Hombre CARTAGENA
49.7 178.4 73509.5 Mujer MEDELLIN
64 155.9 2000 Hombre CARTAGENA
67 175.9 2000 Mujer CALI
46.1 156.3 49989.2 Hombre BARRANQUILLA
48.8 162.2 136275.2 Hombre MEDELLIN
56.3 173.2 2000 Hombre CARTAGENA
60.8 168.3 8485.1 Mujer MEDELLIN
72.1 175.4 62095.1 Mujer BOGOTA
65.3 160.1 48311.1 Mujer MEDELLIN
55.1 166.6 27079.4 Hombre MEDELLIN
53.1 168.8 58653.5 Mujer MEDELLIN
57 172.7 39041.3 Mujer CARTAGENA
73.1 162.7 2000 Hombre BARRANQUILLA
45 190.9 112246.5 Hombre ARMENIA
75.7 160.8 46853.6 Mujer CARTAGENA
67.9 161.5 67858.3 Mujer CALI
72.9 169 77955.2 Hombre ARMENIA
70 159.7 10340 Hombre ARMENIA
62.4 165.3 55454.5 Mujer CALI
79.9 172.9 23053.3 Hombre ARMENIA
52.5 175.4 53755 Hombre BARRANQUILLA
69.5 175.1 49562.8 Hombre CALI
65.2 162.6 2000 Hombre CARTAGENA
68.1 173.6 71775 Mujer MEDELLIN
60.5 168.5 43286 Mujer BOGOTA
75.9 162.1 69621.3 Mujer CARTAGENA
52.3 157.6 33291.5 Hombre BARRANQUILLA
53.9 173.6 903.2 Mujer ARMENIA
64.5 157.6 99070.3 Hombre BARRANQUILLA
60.8 192.6 2000 Mujer MEDELLIN
58 162.4 97575.3 Mujer CARTAGENA
48.9 178.7 2000 Hombre BARRANQUILLA
54 181.3 14947.8 Hombre BARRANQUILLA
55.9 179.7 50351.6 Mujer ARMENIA
69.3 180.5 42928.1 Mujer ARMENIA
61.8 181.5 143124.2 Mujer BARRANQUILLA
50.4 178.4 2000 Hombre MEDELLIN
68.3 170.9 43932.3 Hombre ARMENIA
78.6 175.1 48975 Hombre CARTAGENA
91.4 174.2 26456.2 Hombre CALI
45 164 45264.1 Hombre ARMENIA
57.6 173.6 110220.7 Mujer ARMENIA
79 158.2 2000 Mujer BARRANQUILLA
77.2 166 35289.4 Hombre ARMENIA
46.7 159 120248.4 Hombre BOGOTA
61.7 162.4 2000 Hombre BOGOTA
70.6 163.9 103049.9 Mujer CALI
63.9 189.9 45677.8 Mujer MEDELLIN
45 159.5 131144.5 Mujer BOGOTA
63.6 167.9 2000 Mujer CALI
76.7 166.5 103637 Hombre BARRANQUILLA
63.5 170.3 31565.5 Mujer MEDELLIN
70.3 154.5 31809.1 Hombre CARTAGENA
87.3 164.9 16774 Hombre MEDELLIN
81.1 159.7 32957.1 Hombre CARTAGENA
45 179.9 78346.4 Hombre CARTAGENA
65.4 171.5 11616.9 Mujer ARMENIA
53.1 180.6 54112.6 Hombre CARTAGENA
70.8 176.2 15025.2 Hombre ARMENIA
70 183.7 49299.5 Hombre BARRANQUILLA
45 164.2 2000 Hombre BOGOTA
57.2 159.4 2000 Hombre BOGOTA
49.6 166.1 127936.7 Hombre MEDELLIN
58.7 171.8 51387.6 Hombre MEDELLIN
62.3 161 24623.9 Mujer BOGOTA
68.9 174.7 87347.7 Mujer BOGOTA
51.8 163.9 106732.2 Hombre BOGOTA
51.2 173.4 99911.9 Mujer CALI
65.7 166.2 49483.4 Mujer CARTAGENA
84.6 180.5 24198.8 Mujer BARRANQUILLA
61.5 162.2 71225.8 Mujer BOGOTA
54.9 168.7 23031.8 Hombre BOGOTA
65.5 164.4 2000 Mujer BARRANQUILLA
76 172.4 2000 Hombre CARTAGENA
45.2 177.4 45922.9 Mujer CARTAGENA
71 175.2 34823.7 Mujer ARMENIA
71.2 164.5 17229.9 Hombre CALI
61.2 178.4 2000 Hombre BARRANQUILLA
57.7 174.2 2000 Hombre ARMENIA
52.8 170.7 167461.9 Mujer MEDELLIN
70.2 162.8 2000 Mujer CALI
67.3 176.9 2000 Hombre BOGOTA
57.1 156.5 40111.5 Hombre MEDELLIN
56 152.3 172837.4 Hombre ARMENIA
66.4 165.9 14761.6 Hombre ARMENIA
84.2 157.6 24748 Mujer CALI
75.6 172.7 60898.9 Hombre BOGOTA
48.5 184.7 31498.9 Hombre BOGOTA
61.5 165.2 2000 Mujer BARRANQUILLA
62.2 167.7 52496.1 Hombre MEDELLIN
61.3 176.8 12548 Mujer ARMENIA
84 155.2 2000 Mujer BARRANQUILLA
73.3 156.1 2000 Mujer BOGOTA
52.3 186.6 2000 Hombre BARRANQUILLA
60.4 165.2 2000 Mujer CALI
45 168 38780.5 Hombre BOGOTA
61.8 181.8 73982.2 Hombre BARRANQUILLA
49 177 20655.2 Hombre BOGOTA
69.4 153.2 3747 Mujer ARMENIA
56.2 180.6 2000 Hombre CARTAGENA
60.1 165.7 2000 Hombre ARMENIA
56.9 162.9 113160.1 Mujer CARTAGENA
45 154.8 50021.6 Hombre BOGOTA
70.6 152.1 2000 Mujer CARTAGENA
48.2 170.8 80721.1 Hombre BOGOTA
64.1 177.7 9160.6 Hombre BOGOTA
47.7 154.5 47363.1 Hombre ARMENIA
67.4 155.7 12750.4 Hombre CALI
60.9 177.8 36958.1 Mujer CARTAGENA
55.8 173 2000 Mujer ARMENIA
71.1 174.4 2000 Hombre BOGOTA
48.6 162.2 2000 Hombre CALI
45 165.8 47557 Mujer CALI
73.3 157.4 28341.7 Hombre MEDELLIN
61.5 174.5 2000 Hombre CALI
56.9 165.9 3202.5 Hombre CALI
57.5 162.3 94175.8 Mujer BARRANQUILLA
58.2 176.3 64726.2 Hombre BARRANQUILLA
63.2 165 20305.8 Mujer BARRANQUILLA
67.3 177.3 5876.8 Mujer BOGOTA
61.1 166.9 2905.1 Mujer ARMENIA
47.6 171.5 54462.2 Hombre BARRANQUILLA
61.6 172.5 75483.7 Hombre CARTAGENA
78.2 176.5 92195.5 Hombre ARMENIA
64.7 166.4 194912 Mujer BARRANQUILLA
48.3 179.3 113178 Hombre BARRANQUILLA
45 174.8 123689.9 Hombre CARTAGENA
95.4 188 2000 Hombre CARTAGENA
72.8 159.1 54863.2 Mujer ARMENIA
76.2 166.2 2000 Hombre CALI
67.5 174.1 57562.7 Hombre BOGOTA
54.2 167.6 2000 Mujer BOGOTA
80.9 179.3 47399.7 Hombre ARMENIA
67.7 166.1 2000 Mujer MEDELLIN
67 167 4311.8 Mujer CALI
62.8 168 22566.7 Hombre BOGOTA
60.6 169 2000 Hombre ARMENIA
