"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14"
30.27912 0.85398 4.6089 8.9632 12.2159 2.7961 5.97211 7.1957 -2.7768 11.5979 28.73929 11.5979 4.7639 3.1101 10.7895
9.94955 -2.74061 9.3244 8.5722 5.1965 9.8208 4.29947 1.2113 1.2119 5.471 6.05227 5.471 6.1568 5.7052 4.9435
19.22153 -0.33918 3.445 4.1554 9.5358 10.9215 3.54192 6.9797 -0.4172 7.1639 6.04351 7.1639 0.0547 10.5396 2.585
34.2815 0.03936 5.7447 10.225 12.1328 9.2968 4.90331 7.0598 -0.5181 5.7202 28.83434 5.7202 -1.4585 10.3532 1.4881
35.80074 -2.66921 4.0218 6.2155 4.6515 3.5461 1.42241 7.8244 -1.272 10.0706 17.75965 10.0706 8.3534 8.4097 11.3149
39.4332 0.80436 7.6074 9.239 7.8469 3.9416 2.70332 1.6045 4.2014 6.9679 25.92052 6.9679 5.4567 4.9061 5.712
28.052 -0.76529 8.3343 4.6538 6.9614 1.6233 6.48235 0.8209 -0.5445 6.4405 22.6055 6.4405 8.7165 2.4449 10.4105
20.94813 -1.67054 4.1197 1.7706 0.0019 2.8122 7.25134 5.7822 2.8658 12.1978 26.41468 12.1978 8.864 7.946 4.0798
33.86561 0.58287 12.3505 5.3375 -1.5507 4.5441 2.92872 11.2985 -0.2366 8.1201 24.9697 8.1201 7.877 4.1526 10.6713
22.62045 1.28148 7.4489 3.2399 6.3839 8.3393 5.54585 7.0255 3.8719 5.5951 29.98807 5.5951 4.8553 11.7869 4.1549
20.6537 0.49981 6.1526 -1.0879 8.9034 8.7648 3.66603 5.1272 5.9168 11.9396 16.72628 11.9396 11.2536 5.9293 1.3796
42.5744 -2.52867 9.0252 2.9225 0.1341 9.5199 2.28369 9.1137 -0.2187 7.0993 29.81919 7.0993 9.6873 3.2946 10.3825
35.65227 -0.07051 13.1678 1.9063 3.012 3.3367 7.04264 7.0936 3.665 6.2812 26.41341 6.2812 9.0125 7.9605 9.002
22.01361 -2.21296 10.9532 8.3264 -1.3303 2.2954 4.01063 8.4355 -2.8426 9.5644 18.86098 9.5644 10.6217 8.3966 7.7339
25.65735 -2.28943 8.8151 4.5056 2.9457 2.0297 2.43492 2.9539 5.2723 7.5086 12.71638 7.5086 -1.8732 9.0004 2.7015
20.7048 1.77254 11.6014 2.914 9.3688 8.113 3.7525 1.314 -1.403 6.2104 12.55505 6.2104 3.1074 3.9454 8.3677
66.80753 1.9753 7.5607 8.5813 12.7816 7.5318 1.06875 3.4154 -2.8477 8.3192 11.05784 8.3192 2.6676 2.7164 5.6662
26.03653 1.60129 11.4831 9.0409 2.4845 3.4704 2.63857 6.7505 0.7868 11.9901 16.65776 11.9901 -1.3374 10.3686 4.5709
30.71787 -0.05686 7.0969 2.6742 7.2974 4.5005 2.60534 3.741 0.0253 6.1558 18.87111 6.1558 -2.507 8.0834 10.4472
27.78241 -2.43081 13.9168 8.4593 9.3956 3.0752 4.73878 9.5398 2.0939 6.0824 26.37656 6.0824 2.3297 11.8415 4.5772
44.39037 1.84856 2.7255 -0.4543 2.4659 9.1306 1.39552 9.0157 -2.2036 10.1147 16.07594 10.1147 2.1371 4.3558 2.6881
21.01205 0.30115 11.0356 2.4823 2.0121 10.7569 3.30109 8.5325 -1.8311 7.0022 11.93799 7.0022 7.4004 10.1484 8.2822
21.71536 -2.38593 9.1336 5.8224 6.2392 8.7173 3.05545 2.5556 -0.0294 7.1505 26.069 7.1505 11.8215 10.6474 4.8892
8.88409 -1.41537 6.6789 0.7038 6.5337 10.958 7.38126 8.0469 -0.5552 10.1403 8.5151 10.1403 1.1313 5.1986 2.6632
27.87617 -0.40081 7.7493 9.8006 4.0954 5.5362 2.61106 11.4355 -2.2848 6.0212 17.48032 6.0212 2.3531 4.8688 7.4214
18.75879 -0.25289 7.9922 -1.4342 3.4359 7.9028 4.24541 7.7907 4.0621 11.6067 21.97372 11.6067 -3.2192 6.7884 9.7137
13.7006 -1.67126 12.8812 3.1958 6.4158 10.4643 2.96248 11.375 0.8682 5.5704 14.85709 5.5704 -0.9062 10.9814 11.1911
29.91261 -1.10475 9.4475 4.0083 12.1008 8.0098 1.94275 4.2289 7.2354 6.2719 27.95789 6.2719 7.3832 5.9311 6.6534
28.29621 -0.03548 14.1936 4.6843 2.2592 3.101 1.82115 3.0258 1.1543 6.902 12.93396 6.902 10.6099 5.2035 9.6386
21.2991 1.53599 13.1931 1.6736 8.6276 1.682 3.48736 6.0664 6.3571 10.1851 27.39782 10.1851 1.2799 6.7537 4.3306
26.6255 -2.77422 9.9841 0.8775 5.2596 7.2739 5.43535 9.7862 0.8395 6.5335 28.3105 6.5335 3.7567 6.4202 5.7534
48.09353 -0.95833 3.4492 8.009 -1.0373 2.5784 1.04353 7.8712 1.1679 11.208 19.04158 11.208 -2.6979 3.8237 6.8761
28.59498 -1.26043 7.1955 0.0128 8.1231 7.8547 6.70603 1.8017 6.2286 6.8046 16.42998 6.8046 7.9125 2.8528 1.696
31.21661 -1.22402 13.255 5.5041 6.4183 2.3181 2.49542 11.2064 4.448 7.5263 26.36879 7.5263 4.3589 4.2847 10.5763
9.32359 -2.46595 9.6004 9.0006 0.4215 3.6594 7.59774 9.9149 5.8525 5.7896 13.29422 5.7896 -2.7793 6.658 4.6571
23.37723 1.03966 12.5856 5.2182 10.0191 11.0113 4.99774 4.7138 -1.5113 6.4335 28.98797 6.4335 7.1496 2.9172 3.3086
42.47961 -2.46605 7.4721 2.5787 14.2439 10.6257 4.93608 7.4604 -0.4559 11.2221 27.85358 11.2221 6.6516 4.9673 3.2998
41.82975 1.30499 8.5129 -0.952 10.0674 10.8914 2.30024 10.245 1.8591 4.848 28.9692 4.848 7.1437 7.4751 9.8121
4.47492 1.50225 5.3048 4.0662 7.8154 8.1489 4.83175 9.9848 3.7791 6.9356 7.03106 6.9356 4.8105 4.691 3.431
45.64647 1.99317 10.5366 -0.0756 3.8914 6.6 3.67612 9.7919 -0.9064 8.5174 11.81227 8.5174 2.7278 6.6356 9.8005
41.6327 -0.59411 12.9425 2.7361 12.0205 11.106 2.04853 11.2709 4.3444 9.3358 15.95892 9.3358 1.2865 10.0496 2.9609
2.04093 -1.60502 13.9239 9.1842 13.4789 1.9447 5.09167 3.2793 7.5482 8.8419 10.88851 8.8419 1.9879 2.4487 1.4906
28.49321 1.21018 13.5373 4.217 8.9944 2.8581 7.66549 7.6107 5.598 10.8876 27.35586 10.8876 -3.0705 5.7434 10.6715
31.61007 -0.31653 9.409 7.1669 11.1696 7.6307 7.19507 3.8133 -2.0429 7.0579 25.90483 7.0579 -0.0327 5.4546 2.6308
29.63778 1.49724 11.1971 -0.2798 3.0233 9.6323 4.35171 2.1666 7.8068 13.3996 24.71644 13.3996 3.9524 4.3875 2.1256
31.69516 -0.52563 5.7605 9.3124 8.0478 7.4387 6.63016 6.2636 -2.8936 5.8048 21.9336 5.8048 4.7824 6.7761 6.9728
33.62313 0.27971 4.1313 8.1765 -0.79 9.9302 2.06016 5.6109 2.724 10.9185 10.31512 10.9185 10.1079 8.4059 6.4034
20.86605 1.74535 13.9799 3.19 10.8982 6.609 4.36086 4.6312 -1.3972 10.9637 22.71557 10.9637 0.1511 11.8195 9.6673
38.51282 -2.35215 7.5666 3.3226 9.6144 10.3371 7.83878 8.3325 4.9 11.2861 27.77071 11.2861 10.0181 3.3783 3.0413
20.58078 -0.30922 9.765 5.7753 13.3591 10.8894 4.32959 10.8843 5.765 11.6081 11.86059 11.6081 6.3886 11.0677 10.8648
38.08752 -2.23663 5.8919 8.9179 -1.1568 9.1808 4.11726 11.494 7.0042 7.3649 22.57738 7.3649 0.9303 7.8498 4.9244
29.22906 0.20054 4.8394 2.5088 12.0349 9.5343 7.76106 5.9101 3.9417 4.8267 11.22397 4.8267 10.5359 4.7467 5.6088
30.75823 -0.0794 4.7747 10.4018 4.1816 1.553 7.65009 9.0681 -0.0519 10.0384 12.30666 10.0384 4.6296 8.9015 2.209
32.16035 -2.79647 9.4942 3.893 11.751 10.5388 3.78521 4.5145 1.769 11.1249 24.75314 11.1249 -0.9744 3.72 3.0483
7.00531 1.37642 11.493 8.7853 10.1178 2.7703 5.4415 7.2878 -1.7607 10.9864 13.26209 10.9864 5.5651 8.2718 2.1815
34.55541 -0.49422 9.3097 0.9999 9.2399 10.5226 3.3741 3.1071 4.3773 12.8539 20.03893 12.8539 2.9633 10.5119 3.3103
1.20749 1.44684 6.5473 6.956 1.7937 4.8269 3.1434 11.9908 0.4301 5.6159 8.20285 5.6159 6.0269 11.3615 4.5186
24.11281 -0.01838 3.3595 7.709 0.1904 9.4579 5.45853 0.9687 -2.7456 8.9317 27.89097 8.9317 4.3111 8.7412 4.4468
3.33633 -1.56621 5.3109 6.0896 0.9275 7.2096 3.73229 11.2069 1.4753 10.6049 16.84382 10.6049 6.5032 6.1186 8.7489
3.85521 -2.69982 4.1277 -1.0158 14.705 4.6536 5.83279 9.4035 4.3302 5.5148 10.7389 5.5148 6.1005 2.9523 1.5385
26.89837 0.78763 7.1188 5.796 13.7584 9.2232 1.61289 5.6189 3.1527 5.8109 9.76981 5.8109 1.7764 6.4042 1.6946
35.68178 -0.61266 8.5442 2.4477 8.149 6.6476 1.99511 2.6681 0.0751 6.1957 21.64363 6.1957 10.0635 10.2543 9.2887
27.4921 0.34788 4.2902 1.7735 -1.8775 5.1528 3.12683 8.7594 3.8772 5.2011 21.7895 5.2011 1.7418 9.551 8.652
17.82227 -0.3591 9.0296 6.9452 -0.4971 8.7125 5.82492 1.8346 7.9422 12.0689 10.49171 12.0689 5.0518 11.6403 10.5673
19.57885 -1.34005 3.82 2.6626 9.2589 9.3151 5.56271 10.784 1.1385 9.4388 24.34977 9.4388 0.158 7.6903 5.5035
15.38934 -0.71881 8.7767 6.0236 14.663 9.8964 5.15348 10.476 -0.2386 13.0142 12.57116 13.0142 3.7359 7.4391 8.7368
40.70377 -2.48445 10.253 -0.0037 1.7953 2.6037 3.95061 2.6212 -1.6214 11.0978 23.45062 11.0978 7.9136 4.0438 10.6804
28.63455 0.03058 3.7342 6.8628 5.1068 2.091 5.18423 3.1951 7.864 11.3264 15.23176 11.3264 -0.1942 4.076 8.7188
36.14103 -0.24298 10.7122 -1.1849 7.2793 5.6783 5.2041 11.2416 0.1743 12.0083 23.99091 12.0083 3.9069 5.1581 11.0034
25.88745 -2.70889 2.733 3.4869 1.2544 6.3482 4.72201 6.9378 4.8581 8.0138 24.16025 8.0138 -1.7793 3.8397 6.6944
28.44267 -1.52666 4.7077 5.6044 12.9431 2.9182 2.1924 6.9931 -1.5338 10.9084 17.61085 10.9084 -0.1515 8.9535 7.8687
35.27465 -0.11767 13.9527 4.324 6.0708 3.3221 6.97641 6.7579 1.014 4.8173 28.65758 4.8173 0.7621 9.8731 10.4797
40.99068 1.85391 12.7229 2.3509 14.164 2.2345 5.03981 4.7781 -0.806 12.8266 14.79714 12.8266 4.8428 9.9792 4.1805
9.90263 -0.15766 8.8361 -0.2091 12.0967 2.6641 6.93627 10.9112 -1.0788 8.8911 8.865 8.8911 7.7846 4.9845 2.2168
14.12936 -0.66257 11.4865 8.0242 10.3907 8.8309 3.31786 10.2634 7.1431 10.1143 11.87805 10.1143 10.5808 5.86 10.2451
61.66029 -0.43328 6.2533 8.668 5.8806 2.8354 1.05989 2.9937 0.0077 12.3874 28.79772 12.3874 1.6589 6.1676 6.1829
22.96625 -0.04758 2.7188 7.1296 0.2233 8.2623 2.88461 9.6052 5.2393 6.3793 14.79971 6.3793 -1.1195 8.5199 10.5603
22.90897 1.12535 9.139 9.9613 6.1954 9.6795 3.68174 1.3178 0.4967 12.4478 18.38846 12.4478 8.6325 8.0815 3.7814
26.07777 1.57412 7.9682 7.3802 13.5036 9.9692 4.98131 7.9724 2.5964 10.9845 26.07489 10.9845 11.7164 2.7979 5.6655
10.93798 -1.06405 11.3322 2.5764 12.1849 5.9004 3.83435 9.5912 5.4564 7.4437 7.26428 7.4437 1.2987 4.9439 1.3082
17.13653 -0.96887 4.6058 3.8686 13.6113 4.2535 5.21369 11.5049 -1.5026 12.8419 17.22955 12.8419 8.5423 5.3082 4.292
51.62334 -0.21145 11.9822 8.0835 6.7163 10.6332 1.35914 1.731 7.7056 6.1173 28.16643 6.1173 10.1049 8.6239 8.4407
9.0904 -2.7918 14.1592 5.4052 14.6538 7.7517 6.25481 1.1703 -1.1302 10.837 8.21838 10.837 10.9989 7.2308 6.099
24.73947 -2.14208 14.3832 0.6961 10.6806 7.0465 3.47801 9.7584 1.3756 9.5294 17.43372 9.5294 -2.6413 8.0461 9.1471
32.20755 -2.83428 7.844 -0.3795 12.979 4.0601 1.85644 12.0153 5.2834 5.3385 28.47203 5.3385 3.833 3.7838 7.3853
1.05035 1.07237 10.7789 6.5514 -1.7627 4.0445 3.16796 4.6973 7.9823 6.9863 10.61574 6.9863 4.583 11.5397 6.5694
24.25397 -1.89256 11.1665 8.5739 0.2353 4.8941 4.51703 10.4173 -2.0408 12.7884 20.68644 12.7884 3.6004 4.9728 6.7454
31.52072 -0.69758 5.9977 5.6172 11.4501 8.2932 7.32055 0.9013 4.3629 12.1499 23.61322 12.1499 9.5914 10.7314 6.2186
20.552 1.28337 13.5595 9.5148 10.1304 7.6481 3.70623 4.935 0.138 7.8984 25.40615 7.8984 -0.7924 8.205 9.273
9.64877 -0.90197 7.6584 2.3889 4.4912 4.0122 6.53932 10.03 3.0192 7.836 6.46759 7.836 -0.3098 11.0108 5.4512
20.41953 1.71064 3.3215 3.8024 0.9886 2.5726 5.1647 11.7371 5.8168 7.3803 22.62953 7.3803 7.9593 7.8694 3.2426
-8.4412 -1.00501 5.9437 2.1806 1.4705 2.0836 7.52585 5.1217 -2.8851 11.4638 6.06102 11.4638 -2.4027 5.9461 1.7642
28.94733 0.65675 5.053 6.0995 11.1861 3.3116 2.31431 7.3949 7.7585 9.0345 28.54565 9.0345 10.7157 2.7622 6.0068
14.36367 0.3586 4.2198 8.4695 9.1815 2.2552 3.56295 2.0185 5.1519 4.836 15.4777 4.836 1.6992 10.9894 6.5585
7.60119 0.06748 8.2486 9.9863 8.5498 9.4671 4.58391 10.2199 2.7557 8.124 6.4846 8.124 10.9657 9.7744 3.0888
22.0034 -1.69599 13.2579 2.4577 -1.9217 7.7917 4.09376 10.6747 -2.175 7.9314 16.86596 7.9314 -2.6464 5.6398 10.6653
30.613 0.10577 6.6503 -1.101 9.3247 1.9051 3.44373 3.577 -1.7205 10.7173 27.28715 10.7173 1.7487 9.7541 10.8932
24.45242 -0.28585 9.2153 4.8523 2.9143 5.4479 1.66742 2.9727 -1.0133 10.7279 8.86537 10.7279 2.2129 8.435 3.0947
12.5687 -2.27027 6.1039 4.4212 9.4388 6.442 7.65391 4.0883 -0.7519 12.6628 8.11889 12.6628 9.8985 4.2612 3.338
34.36547 -0.5888 6.8749 1.6211 0.293 7.6415 2.12261 10.3381 2.3146 10.3425 22.10711 10.3425 -3.449 11.123 6.9324
22.79998 1.29838 14.2178 0.115 0.64 11.0792 4.31232 4.3162 6.3877 11.4502 19.31909 11.4502 0.458 9.6162 6.2607
25.34233 0.42176 7.3966 6.5682 12.122 8.0545 6.60455 12.0061 -2.753 13.3248 14.03182 13.3248 -3.2333 7.2592 11.2653
29.50081 -1.98386 11.4404 7.341 8.5194 7.1287 3.19343 3.5079 3.3276 9.6252 22.28625 9.6252 -1.206 2.4454 8.1084
6.13067 -1.63466 6.1556 0.3783 6.3287 1.8173 5.45122 9.9881 -2.0924 7.3254 11.07166 7.3254 -2.6565 3.6127 2.3521
31.22334 0.79711 6.1904 5.2361 3.605 8.7248 7.23364 8.2649 -2.9167 10.731 24.22449 10.731 3.6869 4.69 2.3958
22.93724 -0.58154 10.3358 7.9105 0.1455 7.0089 7.58093 8.4823 7.4009 11.5424 11.16483 11.5424 3.6321 10.77 5.1846
29.34589 -2.94398 10.1132 10.388 6.6196 6.5972 4.17416 9.264 2.7792 12.6452 21.24125 12.6452 6.7253 4.5313 2.7162
15.85042 0.95745 7.0589 6.7273 -0.9781 8.3716 2.90413 11.4923 -0.2406 13.3085 14.87286 13.3085 -2.7308 3.0993 1.6393
21.14644 1.69094 6.0789 6.1731 10.8444 10.9567 7.93724 9.1578 -1.9257 12.9306 21.09125 12.9306 0.3587 6.6679 1.8618
9.29158 0.27109 13.3848 4.8632 9.1612 3.9823 5.11812 2.1824 -0.1328 6.9965 9.11296 6.9965 5.023 11.6734 2.8586
26.63823 0.57735 12.085 9.2898 11.6071 4.3246 1.8306 7.5791 -2.2701 12.7328 17.99736 12.7328 -2.3248 2.6038 4.988
33.69283 0.28627 9.9214 1.1116 -0.4025 10.2122 2.9165 2.115 0.4295 8.6017 9.84522 8.6017 0.8805 5.5738 5.4729
16.07684 -1.51313 6.283 7.0576 -1.3152 6.869 4.60149 3.7259 2.367 9.4383 15.09078 9.4383 3.0847 11.5595 3.9903
18.15494 0.16506 5.2343 10.1062 9.8989 6.705 7.67183 8.4756 -1.4939 7.1766 14.06368 7.1766 -3.1365 8.8474 2.983
4.09813 -1.47646 5.4612 -1.4009 6.4556 4.7263 6.97015 7.8692 5.003 10.3947 10.08723 10.3947 11.893 11.2491 7.6676
21.13182 1.15677 14.0507 1.763 9.7501 1.5626 1.65067 3.5298 3.214 10.2584 9.97757 10.2584 4.2817 5.6012 8.9009
-3.00856 -1.77018 14.4014 6.1448 4.0025 8.5281 6.74794 3.8786 0.28 12.3196 7.09113 12.3196 4.2694 3.9518 1.1719
16.90933 -1.73601 3.8495 3.0018 0.3067 8.837 4.52809 9.7831 5.5554 11.4813 20.78836 11.4813 11.812 4.5171 7.6771
13.24855 1.41739 3.5897 7.0024 7.1415 2.4007 5.37734 1.4645 -2.7922 5.5346 18.15301 5.5346 4.971 7.6543 4.8435
39.18126 1.77641 11.5878 2.9984 13.9541 8.7319 4.93893 2.6137 7.9278 8.3253 29.2801 8.3253 -0.4706 3.1991 9.4065
13.3106 -0.57442 10.0595 0.9605 9.0022 2.6271 7.00388 5.3669 7.0673 9.8904 16.45362 9.8904 2.0488 4.4099 5.3507
18.95969 -2.93996 5.8042 6.8255 8.1455 7.0057 3.36259 7.137 1.6449 7.3921 6.18683 7.3921 2.9774 11.0675 9.8013
42.9534 1.69558 8.8727 4.1666 7.6349 8.8343 1.91745 2.9402 3.836 7.8135 19.07646 7.8135 8.0671 8.4908 7.416
30.2492 -0.80187 3.7932 9.3154 7.2115 11.1552 7.89535 6.3528 -0.8655 7.8684 21.6268 7.8684 9.9967 11.3923 7.5557
3.87695 -2.13154 14.4999 0.6576 12.4775 6.8461 4.52287 11.0468 1.0176 5.3633 6.30371 5.3633 7.8652 7.6625 3.5614
19.74748 1.3568 13.7175 7.839 13.0448 9.4307 5.79075 2.3685 5.6138 10.3335 24.02169 10.3335 5.0892 10.4775 3.5967
9.79963 0.59944 4.9322 -0.8561 2.0715 4.6724 6.47162 9.7288 7.7949 11.695 6.17558 11.695 3.8798 2.6715 3.9759
35.40215 -1.67472 6.2992 1.7186 6.5898 8.5284 1.22142 8.946 3.2695 10.9862 10.53831 10.9862 8.032 9.6783 3.2848
25.14634 -1.27244 10.9598 5.6478 -1.3067 6.3559 5.67075 3.4183 -2.6631 12.0718 19.15638 12.0718 11.9224 6.0049 1.6252
16.3299 -0.84311 8.0505 7.0961 6.1845 4.5944 3.65208 2.1372 7.3112 13.3473 8.17046 13.3473 3.4705 8.839 6.1658
30.8321 -2.53484 3.0393 4.708 -0.9545 3.3372 6.12689 5.5128 -2.255 12.8401 19.73704 12.8401 -3.2519 8.0856 10.1917
43.12332 0.00279 2.7882 0.8909 11.3514 2.5173 5.566 11.8507 1.9214 9.1921 25.97005 9.1921 4.7949 11.3803 3.5888
16.31061 -0.26148 11.9545 1.5022 5.0509 9.2783 4.83964 6.528 6.7179 11.408 10.21909 11.408 6.8131 4.842 3.2151
23.00897 -1.22538 13.3966 8.7373 12.7756 7.8584 2.94468 4.5949 3.8167 10.9638 20.44443 10.9638 8.5303 6.0413 3.1645
22.03034 1.69573 7.0118 9.5409 8.1441 1.9058 2.27343 3.3128 5.6887 12.7108 6.28627 12.7108 -2.1883 3.1709 3.3891
