bicepscircumferenceflexed,neckcircumference,subjectid,balloffootlength,waistbacklength,waistheightomphalion,stature,tibialheight,thighcircumference,shouldercircumference,poplitealheight,headlength,heelbreadth,buttockpopliteallength,shoulderelbowlength,calfcircumference,handbreadth,bizygomaticbreadth,waistbreadth,hipbreadthsitting,crotchheight
75,370,385,10616,197,491,1094,1840,514,694,1192,451,200,74,520,367,405,91,139,399,433,905
76,388,430,10621,193,480,1013,1743,463,609,1217,393,204,67,486,357,427,89,144,361,385,825
77,410,419,10622,191,490,995,1674,446,685,1201,396,185,71,470,361,410,90,144,355,402,765
78,401,407,10624,224,497,1063,1750,500,687,1264,437,207,74,494,360,442,97,150,332,382,872
79,379,391,10631,198,454,1129,1819,486,636,1271,447,200,72,532,377,383,92,141,298,371,876
80,390,411,10632,224,459,1108,1799,516,669,1189,438,218,80,516,363,436,94,156,330,386,915
81,355,385,10638,192,464,1072,1750,490,631,1173,433,212,65,508,363,365,88,142,345,394,873
82,320,378,10639,188,436,1065,1723,484,588,1140,432,206,64,498,367,399,90,136,305,365,875
83,357,390,10646,206,488,1110,1809,500,641,1142,450,202,70,502,362,385,85,134,362,380,888
84,325,375,10648,195,481,1053,1791,484,581,1142,433,208,68,486,354,373,86,140,310,363,851
85,333,400,10652,188,468,1016,1723,473,592,1193,425,203,75,477,358,369,81,143,327,363,816
86,323,372,10662,170,432,908,1578,400,570,1013,350,185,60,445,315,348,79,132,304,331,724
87,317,391,10667,197,485,1013,1718,471,597,1116,425,196,70,478,372,395,89,136,341,383,842
88,349,390,10670,193,478,1068,1799,480,639,1151,425,195,67,498,361,396,92,148,345,396,844
89,304,348,10672,196,428,1082,1740,502,507,1095,455,197,60,498,353,344,81,131,259,324,881
90,325,380,10674,199,469,997,1702,451,555,1137,405,194,66,468,343,347,81,142,308,347,804
91,363,418,10677,190,460,1049,1737,468,649,1187,415,198,69,494,357,394,89,146,337,393,841
92,366,406,10679,191,457,1045,1730,461,641,1142,414,194,67,497,354,410,87,141,347,391,830
93,320,366,10680,200,499,1056,1785,479,609,1064,434,203,70,489,359,364,90,132,293,385,864
94,303,358,10687,198,470,1113,1817,506,507,1096,454,193,67,515,394,353,93,128,274,338,909
95,291,361,10689,204,468,1119,1843,492,532,1128,444,205,66,515,377,353,88,137,275,354,896
96,362,379,10692,193,457,1092,1791,501,576,1179,445,198,65,505,372,380,90,135,291,367,891
97,331,363,10694,182,402,1015,1657,453,629,1128,401,191,70,474,334,394,81,133,302,381,802
98,348,376,10695,196,473,1011,1701,473,613,1124,412,178,65,485,347,367,86,140,346,368,822
99,320,374,10696,195,469,1070,1786,469,586,1148,423,205,65,500,361,377,85,144,277,375,853
100,386,398,10701,197,501,1018,1755,470,713,1197,421,209,70,507,359,398,92,140,362,425,821
